Alias	AvgSpotLen	BioSample	Experiment	INSDC_first_public	INSDC_last_update	LoadDate	MBases	MBytes	ReleaseDate	Run	SRA_Sample	SRA_accession	Sample_Name	collection_date	environment_biome	environment_feature	environment_material	geographic_location_country_and_or_sea	geographic_location_latitude	geographic_location_longitude	project_name	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_checklist	INSDC_center_name	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Library_Name	Organism	Platform	SRA_Study	Title	geographic_location_depth	geographic_location_elevation	investigation_type	sequencing_method	soil_environmental_package
AV110	489	SAMEA103892436	ERX1933713	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	36	24	2018-07-04	ERR1873188	ERS1581604	ERS1581604	SAMEA103892436 ERS1581604	2014/2015	Moist_tropical_forests	-	soil	Colombia	-0.3806	-72.236	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV112	489	SAMEA103892437	ERX1933714	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	25	17	2018-07-04	ERR1873189	ERS1581605	ERS1581605	SAMEA103892437 ERS1581605	2014/2015	Moist_tropical_forests	-	soil	Colombia	-0.395	-72.08	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV114	490	SAMEA103892438	ERX1933715	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	48	32	2018-07-04	ERR1873190	ERS1581606	ERS1581606	SAMEA103892438 ERS1581606	2014/2015	Moist_tropical_forests	-	soil	Colombia	-0.55	-71.36	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV117	490	SAMEA103892439	ERX1933716	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-15	20	13	2018-07-04	ERR1873191	ERS1581607	ERS1581607	SAMEA103892439 ERS1581607	2014/2015	Moist_tropical_forests	-	soil	Colombia	-4.0086	-69.8984	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV120	490	SAMEA103892440	ERX1933717	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	8	5	2018-07-04	ERR1873192	ERS1581608	ERS1581608	SAMEA103892440 ERS1581608	2014/2015	Moist_tropical_forests	-	soil	Colombia	-3.9997	-69.8947	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV125	490	SAMEA103892441	ERX1933718	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-15	64	43	2018-07-04	ERR1873193	ERS1581609	ERS1581609	SAMEA103892441 ERS1581609	2014/2015	Tropical_montane_forests	-	soil	Colombia	4.867	-75.167	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
AV127	490	SAMEA103892442	ERX1933719	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-15	45	31	2018-07-04	ERR1873194	ERS1581610	ERS1581610	SAMEA103892442 ERS1581610	2014/2015	Tropical_montane_forests	-	soil	Colombia	6.705	-75.4667	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2538	490	SAMEA103892444	ERX1933720	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-15	66	44	2018-07-04	ERR1873195	ERS1581612	ERS1581612	SAMEA103892444 ERS1581612	2014/2015	Temperate_coniferous_forests	-	soil	Estonia	58.12324	27.03222	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2620	490	SAMEA103892445	ERX1933721	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	107	72	2018-07-04	ERR1873196	ERS1581613	ERS1581613	SAMEA103892445 ERS1581613	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	58.27961	26.3716	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2629	490	SAMEA103892446	ERX1933722	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	64	41	2018-07-04	ERR1873197	ERS1581614	ERS1581614	SAMEA103892446 ERS1581614	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	58.04579	24.71194	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2640	490	SAMEA103892447	ERX1933723	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	64	42	2018-07-04	ERR1873198	ERS1581615	ERS1581615	SAMEA103892447 ERS1581615	2014/2015	Mediterrean	-	soil	Australia	-34.36113	116.291	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2643	490	SAMEA103892448	ERX1933724	2018-05-31T17:02:46Z	2017-03-06T16:33:16Z	2018-07-20	70	46	2018-07-04	ERR1873199	ERS1581616	ERS1581616	SAMEA103892448 ERS1581616	2014/2015	Mediterrean	-	soil	Australia	-34.95216	116.75884	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2648	491	SAMEA103892450	ERX1933726	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	46	30	2018-07-04	ERR1873201	ERS1581618	ERS1581618	SAMEA103892450 ERS1581618	2014/2015	Mediterrean	-	soil	Australia	-34.95822	117.43759	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2649	491	SAMEA103892451	ERX1933727	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	50	32	2018-07-04	ERR1873202	ERS1581619	ERS1581619	SAMEA103892451 ERS1581619	2014/2015	Mediterrean	-	soil	Australia	-33.54495	117.08714	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2650	490	SAMEA103892452	ERX1933728	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	75	49	2018-07-04	ERR1873203	ERS1581620	ERS1581620	SAMEA103892452 ERS1581620	2014/2015	Mediterrean	-	soil	Australia	-33.18	117.0478	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2653	490	SAMEA103892453	ERX1933729	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	73	48	2018-07-04	ERR1873204	ERS1581621	ERS1581621	SAMEA103892453 ERS1581621	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-9.4347	147.35164	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2655	490	SAMEA103892454	ERX1933730	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	105	69	2018-07-04	ERR1873205	ERS1581622	ERS1581622	SAMEA103892454 ERS1581622	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-9.4448	147.34867	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2657	489	SAMEA103892455	ERX1933731	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	81	51	2018-07-04	ERR1873206	ERS1581623	ERS1581623	SAMEA103892455 ERS1581623	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-9.44475	147.34958	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2658	489	SAMEA103892456	ERX1933732	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	55	37	2018-07-04	ERR1873207	ERS1581624	ERS1581624	SAMEA103892456 ERS1581624	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-9.43501	147.37553	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2659	489	SAMEA103892457	ERX1933733	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	75	48	2018-07-04	ERR1873208	ERS1581625	ERS1581625	SAMEA103892457 ERS1581625	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-9.41755	147.37845	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2660	489	SAMEA103892458	ERX1933734	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	106	68	2018-07-04	ERR1873209	ERS1581626	ERS1581626	SAMEA103892458 ERS1581626	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-9.42183	147.36922	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2661	489	SAMEA103892459	ERX1933735	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	44	30	2018-07-04	ERR1873210	ERS1581627	ERS1581627	SAMEA103892459 ERS1581627	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-6.63903	146.90886	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2664	489	SAMEA103892460	ERX1933736	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	29	19	2018-07-04	ERR1873211	ERS1581628	ERS1581628	SAMEA103892460 ERS1581628	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-7.30579	147.1175	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2669	489	SAMEA103892461	ERX1933737	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	45	30	2018-07-04	ERR1873212	ERS1581629	ERS1581629	SAMEA103892461 ERS1581629	2014/2015	Moist_tropical_forests	-	soil	Papua New Guinea	-7.30364	147.13239	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2677	489	SAMEA103892462	ERX1933738	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	50	32	2018-07-04	ERR1873213	ERS1581630	ERS1581630	SAMEA103892462 ERS1581630	2014/2015	Tropical_montane_forests	-	soil	Papua New Guinea	-6.01732	145.41601	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2679	489	SAMEA103892463	ERX1933739	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	39	26	2018-07-04	ERR1873214	ERS1581631	ERS1581631	SAMEA103892463 ERS1581631	2014/2015	Tropical_montane_forests	-	soil	Papua New Guinea	-6.01602	145.40921	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2700	489	SAMEA103892464	ERX1933740	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	60	39	2018-07-04	ERR1873215	ERS1581632	ERS1581632	SAMEA103892464 ERS1581632	2014/2015	Grasslands_and_shrublands	-	soil	Papua New Guinea	-5.79035	145.05771	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2728	489	SAMEA103892465	ERX1933741	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	14	9	2018-07-04	ERR1873216	ERS1581633	ERS1581633	SAMEA103892465 ERS1581633	2014/2015	Tropical_montane_forests	-	soil	Papua New Guinea	-5.82124	145.14143	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2733	489	SAMEA103892466	ERX1933742	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	29	19	2018-07-04	ERR1873217	ERS1581634	ERS1581634	SAMEA103892466 ERS1581634	2014/2015	Tropical_montane_forests	-	soil	Papua New Guinea	-5.9305	145.0335833	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2736	489	SAMEA103892467	ERX1933743	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	34	22	2018-07-04	ERR1873218	ERS1581635	ERS1581635	SAMEA103892467 ERS1581635	2014/2015	Tropical_montane_forests	-	soil	Papua New Guinea	-6.3755	145.2558333	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2742	491	SAMEA103892468	ERX1933744	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	41	27	2018-07-04	ERR1873219	ERS1581636	ERS1581636	SAMEA103892468 ERS1581636	2014/2015	Tropical_montane_forests	-	soil	Papua New Guinea	-6.193333333	145.3425	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2745X	491	SAMEA103892469	ERX1933745	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	51	32	2018-07-04	ERR1873220	ERS1581637	ERS1581637	SAMEA103892469 ERS1581637	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	58.32669	21.89557	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2747	491	SAMEA103892471	ERX1933746	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	65	43	2018-07-04	ERR1873221	ERS1581639	ERS1581639	SAMEA103892471 ERS1581639	2014/2015	Savannas	-	soil	Australia	-12.76216667	132.7516667	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2751	491	SAMEA103892472	ERX1933747	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	63	41	2018-07-04	ERR1873222	ERS1581640	ERS1581640	SAMEA103892472 ERS1581640	2014/2015	Savannas	-	soil	Australia	-13.53216667	131.3180833	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2754	491	SAMEA103892473	ERX1933748	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	55	37	2018-07-04	ERR1873223	ERS1581641	ERS1581641	SAMEA103892473 ERS1581641	2014/2015	Savannas	-	soil	Australia	-12.6725	131.0708333	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2755X	491	SAMEA103892474	ERX1933750	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	31	20	2018-07-04	ERR1873225	ERS1581642	ERS1581642	SAMEA103892474 ERS1581642	2014/2015	Temperate_coniferous_forests	-	soil	Estonia	58.38859	22.65545	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2755	491	SAMEA103892475	ERX1933749	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	41	26	2018-07-04	ERR1873224	ERS1581643	ERS1581643	SAMEA103892475 ERS1581643	2014/2015	Dry_tropical_forests	-	soil	Australia	-12.70141667	130.9983333	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2757X	491	SAMEA103892476	ERX1933751	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	69	44	2018-07-04	ERR1873226	ERS1581644	ERS1581644	SAMEA103892476 ERS1581644	2014/2015	Temperate_coniferous_forests	-	soil	Estonia	58.01829	22.17463	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2758	491	SAMEA103892477	ERX1933752	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	11	7	2018-07-04	ERR1873227	ERS1581645	ERS1581645	SAMEA103892477 ERS1581645	2014/2015	Moist_tropical_forests	-	soil	Malaysia	3.71025	101.715	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2760	491	SAMEA103892478	ERX1933753	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-20	36	24	2018-07-04	ERR1873228	ERS1581646	ERS1581646	SAMEA103892478 ERS1581646	2014/2015	Moist_tropical_forests	-	soil	Malaysia	3.303333333	101.62025	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2788	491	SAMEA103892479	ERX1933869	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	66	44	2018-07-04	ERR1873344	ERS1581647	ERS1581647	SAMEA103892479 ERS1581647	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	58.30223	22.0958	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2829	491	SAMEA103892480	ERX1933871	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	77	51	2018-07-04	ERR1873346	ERS1581648	ERS1581648	SAMEA103892480 ERS1581648	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	58.55674	23.54882	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2830	491	SAMEA103892481	ERX1933872	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	80	51	2018-07-04	ERR1873347	ERS1581649	ERS1581649	SAMEA103892481 ERS1581649	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	58.58463	23.57021	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
G2831	491	SAMEA103892482	ERX1933873	2018-05-31T17:02:46Z	2017-03-06T16:33:17Z	2018-07-15	105	67	2018-07-04	ERR1873348	ERS1581650	ERS1581650	SAMEA103892482 ERS1581650	2014/2015	Temperate_deciduous_forests	-	soil	Estonia	58.62038	24.10171	18S metabarcoding data of global soil samples	AMPLICON	PRJEB19856	EUROPEAN MOLECULAR BIOLOGY LABORATORY	public	sra	ncbi	ERC000022	EMBL	public	500	Illumina MiSeq	PAIRED	PCR	METAGENOMIC	unspecified	soil metagenome	ILLUMINA	ERP021922	soil sample	0	0	metagenome	Illumina	soil
